Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,10.154667,10.213333,9.910667,10.028667,10.028667,63936000
2014-01-02,9.986667,10.165333,9.770000,10.006667,10.006667,92826000
2014-01-03,10.000000,10.146000,9.906667,9.970667,9.970667,70425000
2014-01-06,10.000000,10.026667,9.682667,9.800000,9.800000,80416500
2014-01-07,9.841333,10.026667,9.683333,9.957333,9.957333,75511500
2014-01-08,9.923333,10.246667,9.917333,10.085333,10.085333,92448000
2014-01-09,10.166667,10.228667,9.790000,9.835333,9.835333,80730000
2014-01-10,9.897333,9.926667,9.483333,9.714667,9.714667,111691500
2014-01-13,9.718667,9.800000,9.188000,9.289333,9.289333,94741500
2014-01-14,9.366667,10.800000,9.111333,10.751333,10.751333,414105000
2014-01-15,11.230000,11.482000,10.806667,10.942000,10.942000,306984000
2014-01-16,10.833333,11.513333,10.826667,11.398000,11.398000,179391000
2014-01-17,11.346000,11.546667,11.196667,11.334000,11.334000,138093000
2014-01-21,11.416000,11.819333,11.387333,11.778667,11.778667,146020500
2014-01-22,11.854000,12.021333,11.650667,11.904000,11.904000,105339000
2014-01-23,11.815333,12.158667,11.561333,12.100000,12.100000,118011000
2014-01-24,11.856667,12.032000,11.568667,11.640000,11.640000,114964500
2014-01-27,11.677333,11.861333,10.980667,11.308000,11.308000,130746000
2014-01-28,11.433333,11.932000,11.400000,11.892000,11.892000,91401000
2014-01-29,11.686667,11.939333,11.542000,11.682000,11.682000,89032500
2014-01-30,11.866667,12.318667,11.800667,12.189333,12.189333,128475000
2014-01-31,11.923333,12.400000,11.900667,12.094000,12.094000,97632000
2014-02-03,12.192667,12.325333,11.677333,11.807333,11.807333,101473500
2014-02-04,12.046667,12.106667,11.746667,11.915333,11.915333,70294500
2014-02-05,11.886667,12.039333,11.290667,11.628000,11.628000,109020000
2014-02-06,11.753333,12.007333,11.733333,11.892000,11.892000,87624000
2014-02-07,12.067333,12.442000,11.973333,12.435333,12.435333,133927500
2014-02-10,12.622667,13.286667,12.621333,13.104000,13.104000,194560500
2014-02-11,13.264667,13.480000,12.846667,13.108000,13.108000,160648500
2014-02-12,13.052000,13.218000,12.954667,13.021333,13.021333,77605500
2014-02-13,12.889333,13.514667,12.883333,13.308667,13.308667,120439500
2014-02-14,13.206667,13.458667,13.133333,13.215333,13.215333,92370000
2014-02-18,13.682667,13.733333,13.424000,13.580000,13.580000,139992000
2014-02-19,13.580000,13.580000,12.894000,12.909333,12.909333,242535000
2014-02-20,14.334000,14.347333,13.751333,13.998000,13.998000,270034500
2014-02-21,14.109333,14.265333,13.946000,13.973333,13.973333,117282000
2014-02-24,13.917333,14.557333,13.888000,14.510000,14.510000,124176000
2014-02-25,15.333333,17.280001,15.230000,16.533333,16.533333,490225500
2014-02-26,17.238667,17.666668,16.500000,16.866667,16.866667,369069000
2014-02-27,17.416668,17.459999,16.555332,16.836000,16.836000,269187000
2014-02-28,16.643333,16.845333,16.170000,16.320667,16.320667,218847000
2014-03-03,15.817333,16.776667,15.666000,16.704000,16.704000,196339500
2014-03-04,17.232000,17.333332,16.855333,16.989332,16.989332,131184000
2014-03-05,17.114668,17.132668,16.786667,16.844000,16.844000,89035500
2014-03-06,16.942667,17.166668,16.629999,16.862667,16.862667,110416500
2014-03-07,16.862667,16.990000,16.294001,16.414000,16.414000,117184500
2014-03-10,16.180000,16.200001,15.737333,15.922667,15.922667,115921500
2014-03-11,15.766667,16.306667,15.495333,15.627333,15.627333,132151500
2014-03-12,15.433333,16.500000,15.407333,16.099333,16.099333,146316000
2014-03-13,16.252666,16.279333,15.600000,15.852667,15.852667,93544500
2014-03-14,15.686000,15.796000,15.221333,15.398000,15.398000,124345500
2014-03-17,15.663333,15.862000,15.366667,15.598667,15.598667,88689000
2014-03-18,15.796667,16.100000,15.668000,16.002666,16.002666,93634500
2014-03-19,16.092667,16.103333,15.567333,15.722667,15.722667,76069500
2014-03-20,15.744000,15.950000,15.557333,15.660667,15.660667,57268500
2014-03-21,15.734667,15.746667,15.166667,15.259333,15.259333,123253500
2014-03-24,15.316667,15.326667,14.018000,14.678000,14.678000,169932000
2014-03-25,14.942667,15.136667,14.526667,14.696000,14.696000,117981000
2014-03-26,14.796667,14.840000,14.090000,14.197333,14.197333,103609500
2014-03-27,14.158000,14.240000,13.533333,13.821333,13.821333,142435500
2014-03-28,14.186667,14.448000,14.018000,14.158000,14.158000,145272000
2014-03-31,14.433333,14.450000,13.759333,13.896667,13.896667,125700000
2014-04-01,13.934667,14.544000,13.905333,14.464667,14.464667,110571000
2014-04-02,14.666667,15.392667,14.536667,15.352667,15.352667,161734500
2014-04-03,15.353333,15.715333,14.800000,15.026667,15.026667,163855500
2014-04-04,15.067333,15.218000,14.083333,14.148667,14.148667,170184000
2014-04-07,13.720667,14.413333,13.567333,13.834667,13.834667,147832500
2014-04-08,14.003333,14.432667,13.761333,14.364000,14.364000,103339500
2014-04-09,14.450667,14.563333,14.059333,14.462000,14.462000,77368500
2014-04-10,14.454667,14.500000,13.586000,13.612667,13.612667,108172500
2014-04-11,13.374000,13.800000,13.240000,13.585333,13.585333,136008000
2014-04-14,13.840000,13.896000,12.960667,13.206000,13.206000,115545000
2014-04-15,13.272667,13.286000,12.288000,12.927333,12.927333,204889500
2014-04-16,13.133333,13.332667,12.721333,13.274000,13.274000,108033000
2014-04-17,13.307333,13.486000,12.938667,13.208000,13.208000,88902000
2014-04-21,13.138667,13.746667,12.933333,13.625333,13.625333,78873000
2014-04-22,13.757333,14.622000,13.667333,14.576000,14.576000,147070500
2014-04-23,14.422000,14.449333,13.800000,13.866000,13.866000,109434000
2014-04-24,14.054000,14.186667,13.546667,13.857333,13.857333,82428000
2014-04-25,13.466667,13.780000,13.176667,13.323333,13.323333,104950500
2014-04-28,13.333333,13.586000,12.700000,13.234000,13.234000,105630000
2014-04-29,13.214000,13.810000,13.035333,13.794667,13.794667,86686500
2014-04-30,13.573333,13.877333,13.418667,13.859333,13.859333,66609000
2014-05-01,13.805333,14.268000,13.712667,13.848667,13.848667,81598500
2014-05-02,13.906667,14.090667,13.768000,14.060667,14.060667,61302000
2014-05-05,13.965333,14.512667,13.901333,14.440667,14.440667,77205000
2014-05-06,14.440000,14.577333,13.790000,13.818667,13.818667,84550500
2014-05-07,13.976000,14.013333,13.150000,13.423333,13.423333,152689500
2014-05-08,12.133333,12.960000,11.866667,11.906000,11.906000,300849000
2014-05-09,11.990667,12.226667,11.814667,12.150667,12.150667,127428000
