"total_steps","common_active_calories","floors_ascended","max_heart_rate","min_avg_heart_rate","average_stress","resting_heart_rate","max_stress","abnormalhr_alerts_count","max_avg_heart_rate","total_steps_goal","user_floors_ascended_goal","moderate_intensity_minutes","total_calories","bodybattery_charged","floors_descended","bmr_calories","food_calories_remaining","common_total_calories","average_steps","vigorous_intensity_minutes","total_distance","common_total_distance","active_calories","food_calories_consumed","id","athlete_id","calendar_date","user_intensity_goal","min_heart_rate","body_battery_drained","sleep_duration"
14224,nan,108,128,46,28,51,87,0,126,nan,10,37,2422,45,80,1909,-926.0,2422,0,7,11317,11317,513,3348,109,1,"2022-07-29",150,45,32,27240
7113,nan,45,126,42,24,48,94,0,126,nan,10,9,2154,39,25,1909,-163.0,2154,0,7,5860,5860,245,2317,110,1,"2022-07-28",150,41,35,24600
14077,nan,39,100,42,19,47,85,0,99,nan,10,43,2228,60,30,1909,4,2228,0,2,11239,11239,319,2224,111,1,"2022-07-27",150,40,51,27000
16003,nan,25,131,42,19,47,99,0,126,nan,10,77,2332,50,24,1906,-949.0,2332,0,1,12517,12517,426,3281,112,1,"2022-07-26",150,41,53,27960
18377,nan,22,103,38,20,47,96,0,101,nan,10,53,2240,57,24,1904,-960.0,2240,0,0,14556,14556,336,3200,113,1,"2022-07-25",150,36,50,28740
14722,nan,25,106,41,18,46,95,0,104,nan,10,98,2341,57,19,1901,-421.0,2341,0,0,11597,11597,440,2762,114,1,"2022-07-24",150,41,66,25440
14566,nan,15,96,40,17,45,82,0,91,nan,10,60,2222,60,17,1905,-793.0,2222,0,0,11438,11438,317,3015,115,1,"2022-07-23",150,40,53,34173
13380,nan,70,114,42,25,48,89,0,111,nan,10,34,2265,28,51,1905,-343.0,2265,0,0,10627,10627,360,2608,116,1,"2022-07-22",150,40,48,16260
6100,nan,35,128,40,28,50,99,0,122,nan,10,1,2077,42,23,1905,-700.0,2077,0,5,4885,4885,172,2777,117,1,"2022-07-21",150,38,28,30900
11855,nan,18,92,40,18,45,78,0,89,nan,10,44,2146,61,17,1905,-1666.0,2146,0,0,9628,9628,241,3812,118,1,"2022-07-20",150,39,67,26760
27396,nan,67,145,41,21,43,90,0,144,nan,10,89,3085,72,72,1901,11,3085,0,59,26231,26231,1184,3074,119,1,"2022-07-19",150,41,60,26580
25538,nan,57,150,39,20,46,86,0,150,nan,10,71,3137,68,56,1906,146,3137,0,72,25239,25239,1231,2991,121,1,"2022-07-17",150,38,76,25380
12227,nan,49,126,44,33,48,84,0,124,nan,10,44,2214,42,37,1894,-1536.0,2214,0,0,9664,9664,320,3750,122,1,"2022-07-16",150,43,41,18600
16431,nan,126,162,44,21,49,76,0,161,nan,10,0,2652,50,106,1894,-506.0,2652,0,54,15308,15308,758,3158,123,1,"2022-07-15",150,42,46,23640
13956,nan,113,153,43,24,49,82,0,152,nan,10,9,2634,25,105,1894,909,2634,0,50,13132,13132,740,1725,124,1,"2022-07-14",150,41,45,23100
18717,nan,44,161,47,30,48,98,0,158,nan,10,47,2901,63,33,1894,-93.0,2901,0,51,18483,18483,1007,2994,125,1,"2022-07-13",150,46,47,24660
21131,nan,36,158,43,22,47,87,0,157,nan,10,79,2750,62,27,1888,-619.0,2750,0,32,18874,18874,862,3369,126,1,"2022-07-12",150,41,59,25200
26106,nan,33,166,44,23,46,84,0,163,nan,10,96,2932,71,34,1898,98,2932,0,38,23280,23280,1034,2834,127,1,"2022-07-11",150,43,49,25140
22090,nan,30,146,38,12,41,94,0,146,nan,10,79,2697,60,24,1903,-718.0,2697,0,28,19743,19743,794,3415,128,1,"2022-07-10",150,38,74,24360
17073,nan,51,140,44,23,49,89,0,139,nan,10,65,2585,25,48,1889,-910.0,2585,0,29,15346,15346,696,3495,129,1,"2022-07-09",150,43,61,26700
8923,nan,54,123,50,39,50,87,0,112,nan,10,21,2208,39,39,1889,-594.0,2208,0,1,6996,6996,319,2802,130,1,"2022-07-08",150,50,24,19200
14569,nan,81,127,47,30,49,96,0,126,nan,10,18,2367,41,42,1889,-425.0,2367,0,0,11677,11677,478,2792,131,1,"2022-07-07",150,45,27,24660
18597,nan,20,195,44,23,48,93,0,190,nan,10,41,2681,43,16,1889,164,2681,0,38,16492,16492,792,2517,132,1,"2022-07-06",150,42,54,26460
22968,nan,25,154,45,26,45,98,0,151,nan,10,75,2726,67,32,1892,59,2726,0,33,20017,20017,834,2667,133,1,"2022-07-05",150,44,52,25140
